date,agetype,game_num,,,,,,
2021/2/22,0,9246,,求和项:game_num,列标签,,,
2021/2/22,1,153149,,行标签,0,1,2,总计
2021/2/22,2,144730,,2021/2/22,9246,153149,144730,307125
2021/2/23,0,8770,,2021/2/23,8770,150074,142002,300846
2021/2/23,1,150074,,2021/2/24,8795,148910,141822,299527
2021/2/23,2,142002,,2021/2/25,8897,145583,139391,293871
2021/2/24,0,8795,,2021/2/26,9470,160023,146072,315565
2021/2/24,1,148910,,2021/2/27,9063,159918,140138,309119
2021/2/24,2,141822,,2021/2/28,7416,134926,122786,265128
2021/2/25,0,8897,,总计,61657,1052583,976941,2091181
2021/2/25,1,145583,,,,,,
2021/2/25,2,139391,,,,,,
2021/2/26,0,9470,,求和项:game_num,列标签,,,
2021/2/26,1,160023,,行标签,0,1,2,总计
2021/2/26,2,146072,,2021/2/22,3.01%,49.87%,47.12%,100.00%
2021/2/27,0,9063,,2021/2/23,2.92%,49.88%,47.20%,100.00%
2021/2/27,1,159918,,2021/2/24,2.94%,49.72%,47.35%,100.00%
2021/2/27,2,140138,,2021/2/25,3.03%,49.54%,47.43%,100.00%
2021/2/28,0,7416,,2021/2/26,3.00%,50.71%,46.29%,100.00%
2021/2/28,1,134926,,2021/2/27,2.93%,51.73%,45.33%,100.00%
2021/2/28,2,122786,,2021/2/28,2.80%,50.89%,46.31%,100.00%
,,,,总计,2.95%,50.33%,46.72%,100.00%
