date,channelid,count(t1.distinct_id),count(t2.distinct_id),count(t2.distinct_id) / count(t1.distinct_id),,count(t1.distinct_id),(多项),,,,,,,,,,
2021/2/21,1507,4,0,0,,,,,,,,,,,,,
2021/2/21,113,4429,1452,0.328,,求和项:count(t2.distinct_id) / count(t1.distinct_id),列标签,,,,,,,,,,
2021/2/21,1238,28,15,0.536,,行标签,111,113,114,116,122,130,131,1001,1446,1447,总计
2021/2/21,1236,2,0,0,,2021/2/21,0.332,0.328,0.346,0.314,0.346,0.318,0.313,0.333,0.323,0.182,3.135
2021/2/21,1502,33,11,0.333,,2021/2/22,0.374,0.367,0.372,0.341,0.375,0.339,0.329,0.359,0.359,0.217,3.432
2021/2/21,1446,1376,445,0.323,,2021/2/23,0.372,0.367,0.345,0.361,0.373,0.327,0.329,0.371,0.342,0.196,3.383
2021/2/21,1449,5,0,0,,2021/2/24,0.356,0.358,0.403,0.354,0.368,0.32,0.331,0.373,0.281,0.257,3.401
2021/2/21,125,67,19,0.284,,2021/2/25,0.358,0.352,0.38,0.361,0.36,0.332,0.332,0.366,0.275,0.26,3.376
2021/2/21,1358,13,5,0.385,,2021/2/26,0.316,0.322,0.35,0.309,0.32,0.274,0.295,0.349,0.246,0.248,3.029
2021/2/21,1366,1,1,1,,2021/2/27,0.334,0.326,0.308,0.301,0.314,0.292,0.286,0.331,0.204,0.255,2.951
2021/2/21,1492,1,0,0,,总计,2.442,2.42,2.504,2.341,2.456,2.202,2.215,2.482,2.03,1.615,22.707
2021/2/21,112,83,34,0.41,,,,,,,,,,,,,
2021/2/21,1362,3,0,0,,,,,,,,,,,,,
2021/2/21,114,778,269,0.346,,,,,,,,,,,,,
2021/2/21,1447,1576,287,0.182,,求和项:count(t1.distinct_id),列标签,,,,,,,,,,
2021/2/21,1001,4419,1472,0.333,,行标签,111,113,114,116,122,130,131,1001,1446,1447,总计
2021/2/21,1348,1,0,0,,2021/2/21,2078,4429,778,1849,7881,4879,13056,4419,1376,1576,42321
2021/2/21,116,1849,580,0.314,,2021/2/22,1709,4064,643,1555,7077,3989,11719,3610,1129,1361,36856
2021/2/21,1500,1,0,0,,2021/2/23,1744,3998,589,1556,6558,3794,11468,3471,1144,1365,35687
2021/2/21,111,2078,690,0.332,,2021/2/24,1769,3777,588,1623,6494,3698,11117,3423,1716,756,34961
2021/2/21,1297,1,0,0,,2021/2/25,1803,3862,590,1557,7023,4042,11528,3656,2004,674,36739
2021/2/21,1280,1,1,1,,2021/2/26,2381,4674,734,2070,7863,3294,12430,4041,2063,723,40273
2021/2/21,130,4879,1552,0.318,,2021/2/27,473,2715,698,246,7367,8468,11618,4144,2311,717,38757
2021/2/21,1235,2,0,0,,总计,11957,27519,4620,10456,50263,32164,82936,26764,11743,7172,265594
