date,regist_type,count(t1.distinct_id),count(t2.distinct_id),count(t2.distinct_id) / count(t1.distinct_id),,,,,,,,,
2021/2/22,celln,13806,5125,0.371,,count(t1.distinct_id),(多项),,,,,,
2021/2/22,tx,9165,3292,0.359,,,,,,,,,
2021/2/22,celln_direct,770,185,0.24,,求和项:count(t2.distinct_id) / count(t1.distinct_id),列标签,,,,,,
2021/2/22,wx,12812,4130,0.322,,行标签,apple,celln,celln_direct,tx,wx,wx_miniprog,总计
2021/2/22,wx_miniprog,187,53,0.283,,2021/2/22,0.31,0.371,0.24,0.359,0.322,,1.602
2021/2/22,apple,558,173,0.31,,2021/2/23,0.347,0.37,0.237,0.347,0.322,,1.623
2021/2/23,wx,12161,3919,0.322,,2021/2/24,0.325,0.378,0.251,0.335,0.32,,1.609
2021/2/23,celln_direct,769,182,0.237,,2021/2/25,0.306,0.376,0.207,0.335,0.321,,1.545
2021/2/23,tx,8937,3105,0.347,,2021/2/26,0.304,0.33,0.203,0.308,0.289,0.267,1.701
2021/2/23,apple,536,186,0.347,,2021/2/27,0.3,0.32,0.209,0.287,0.286,0.266,1.668
2021/2/23,celln,13560,5021,0.37,,总计,1.892,2.145,1.347,1.971,1.86,0.533,9.748
2021/2/23,wx_miniprog,166,45,0.271,,,,,,,,,
2021/2/24,tx,8725,2924,0.335,,,,,,,,,
2021/2/24,celln,13014,4923,0.378,,,,,,,,,
2021/2/24,celln_direct,757,190,0.251,,求和项:count(t1.distinct_id),列标签,,,,,,
2021/2/24,wx_miniprog,174,54,0.31,,行标签,apple,celln,celln_direct,tx,wx,wx_miniprog,总计
2021/2/24,apple,566,184,0.325,,2021/2/22,558,13806,770,9165,12812,187,37298
2021/2/24,wx,12161,3890,0.32,,2021/2/23,536,13560,769,8937,12161,166,36129
2021/2/25,apple,615,188,0.306,,2021/2/24,566,13014,757,8725,12161,174,35397
2021/2/25,wx_miniprog,191,68,0.356,,2021/2/25,615,13906,792,8927,12715,191,37146
2021/2/25,tx,8927,2990,0.335,,2021/2/26,661,15124,965,9496,14291,206,40743
2021/2/25,wx,12715,4076,0.321,,2021/2/27,663,14158,1026,9229,13974,199,39249
2021/2/25,celln,13906,5224,0.376,,2021/2/28,568,11215,754,6886,10778,165,30366
2021/2/25,celln_direct,792,164,0.207,,总计,4167,94783,5833,61365,88892,1288,256328
2021/2/26,celln_direct,965,196,0.203,,,,,,,,,
2021/2/26,wx,14291,4127,0.289,,,,,,,,,
2021/2/26,celln,15124,4993,0.33,,,,,,,,,
2021/2/26,apple,661,201,0.304,,,,,,,,,
2021/2/26,wx_miniprog,206,55,0.267,,,,,,,,,
2021/2/26,tx,9496,2924,0.308,,,,,,,,,
2021/2/27,tx,9229,2649,0.287,,,,,,,,,
2021/2/27,apple,663,199,0.3,,,,,,,,,
2021/2/27,celln,14158,4527,0.32,,,,,,,,,
2021/2/27,celln_direct,1026,214,0.209,,,,,,,,,
2021/2/27,wx,13974,3992,0.286,,,,,,,,,
2021/2/27,wx_miniprog,199,53,0.266,,,,,,,,,
2021/2/28,celln_direct,754,0,0,,,,,,,,,
2021/2/28,tx,6886,0,0,,,,,,,,,
2021/2/28,apple,568,0,0,,,,,,,,,
2021/2/28,celln,11215,0,0,,,,,,,,,
2021/2/28,wx_miniprog,165,0,0,,,,,,,,,
2021/2/28,wx,10778,0,0,,,,,,,,,
