distinct_id,game_num,killer_with_friend_num,friend_num,new_num,duomaomao_num,advance_num,twelve_num,duomaomao2_num,min,total_pay
100100212,670,147,70,176,414,42,16,22,,
101657969,486,239,55,0,0,256,219,11,0.9,
102536383,541,138,10,15,0,496,30,0,,68
102765007,616,25,13,1,3,495,0,117,,6
103129245,548,298,22,46,175,289,12,26,,
103197970,865,32,9,29,23,15,473,325,26.333,6
105965003,683,409,54,1,13,7,505,157,14.7,44
106943698,899,660,9,5,28,849,6,11,,12
109605830,828,684,12,0,2,9,811,6,,
110080809,733,202,89,45,475,72,132,9,0.967,1
110086540,466,14,4,0,0,3,462,1,,
110092648,552,207,4,9,49,486,2,6,,
110097225,671,157,26,2,122,485,1,61,,8
110138015,630,369,8,2,19,579,17,13,,
110143584,914,334,48,6,0,768,140,0,0.233,499
110227308,530,84,21,0,4,136,385,5,,
110361318,696,26,6,53,5,352,258,28,,
110399810,832,86,13,0,43,712,70,7,,
110432061,683,31,5,0,1,27,541,114,,
110510152,633,180,66,0,113,514,1,5,,
110560849,715,197,51,12,94,2,6,601,0.567,
110716944,812,33,3,3,2,693,41,73,8.117,
110738339,1515,916,15,0,11,1496,3,5,0.45,6
110775120,743,298,56,4,142,592,1,4,,5
110793298,582,307,2,8,40,523,0,11,,16
110833504,756,111,8,1,23,209,433,90,,
110864719,497,14,1,0,5,1,488,3,,4
110907514,516,38,23,0,3,210,227,76,,6
111089099,690,105,14,0,2,671,0,17,,146
111109866,1199,136,11,908,3,253,34,1,,
111148321,780,227,20,16,13,668,4,79,1.083,
111172964,513,370,13,8,33,3,457,12,11.333,24
111223075,849,20,1,3,35,773,1,37,,
111223743,1002,873,10,30,24,939,8,1,1.05,18
111301699,555,46,1,0,0,555,0,0,,
111327426,761,71,15,4,7,742,0,8,,26
111449817,461,179,1,0,1,3,457,0,,
111532385,634,632,1,0,30,596,5,3,0.2,6
111565049,1044,35,3,0,0,0,1044,0,,88
111566185,827,156,44,7,1,727,13,79,26.667,42
111603931,925,152,27,3,27,808,8,79,0.333,19
111632334,665,230,2,41,7,91,517,9,4.1,18
111721927,773,173,6,0,0,759,0,14,,6
111822672,849,438,24,0,13,19,465,352,,6
111836478,943,384,23,1,0,1,941,0,,80
111872533,718,16,3,0,3,711,0,4,,6
112013637,653,44,3,0,0,1,510,142,,
112015409,608,62,11,0,8,0,472,128,,77
112031675,870,102,9,0,2,34,768,66,,6
112088025,696,166,5,408,17,194,76,1,0.283,
112115240,653,51,10,0,22,630,1,0,1.033,
112156720,995,52,10,39,1,952,3,0,0.1,
112266923,775,18,3,1,4,1,768,1,,6
112296760,527,244,51,24,6,176,262,59,1.683,
112313726,748,60,29,8,113,31,36,560,0.25,
112377852,765,73,40,0,5,760,0,0,,
112391002,1332,134,25,1219,39,62,12,0,,
112399803,1060,173,25,735,67,53,142,63,1.083,31
112551241,716,129,44,9,72,559,10,66,,74
112595732,683,16,74,1,0,0,682,0,,30
112666872,714,216,6,0,0,709,5,0,,
112769712,1192,1186,149,430,11,432,114,205,1.667,
112806003,660,375,11,25,6,620,7,2,,
112869848,850,163,63,649,38,134,22,7,,
112920647,722,82,34,0,0,0,622,100,,106
113031941,724,93,5,0,11,672,8,33,0.8,
113037489,1192,897,23,23,26,1117,14,12,2.617,
113146100,871,346,6,56,9,0,806,0,,
113208149,744,79,16,50,508,117,19,50,0.1,
113214603,581,23,8,0,3,578,0,0,,
113259849,917,652,29,1,20,721,8,167,2428.817,34
113369203,810,233,24,9,523,4,1,273,,
113370782,950,320,77,217,131,535,32,35,0.733,12
113385167,1414,892,53,0,3,1207,20,184,,39
113508312,1059,301,5,3,0,1,1055,0,,
113533949,796,148,14,450,187,141,16,2,,
113553930,666,530,12,0,13,403,79,171,403.133,
113606427,537,386,21,8,30,0,499,0,,
113609043,623,63,20,18,3,597,0,5,13.417,24
113612641,504,80,55,0,0,18,393,93,,
113635781,709,79,22,3,11,576,72,47,,
113702193,754,545,13,0,39,689,0,26,,
113836024,695,235,27,7,1,3,439,245,,6
114007850,683,309,33,115,323,42,139,64,0.3,
114047477,850,771,10,2,0,848,0,0,,
114052753,1292,188,11,1,1,1290,0,0,,
114093937,630,25,5,0,14,615,1,0,0.117,3
114128106,670,227,4,22,269,135,133,111,,
114131743,729,364,32,0,38,635,30,26,6.4,12
114160970,768,50,20,0,1,748,3,16,0.4,
114284469,628,153,51,77,8,171,348,24,4.717,144
114296383,701,49,11,114,12,61,468,46,,1
114331519,542,164,10,0,2,0,538,2,,
114368315,725,184,21,0,0,0,725,0,,
114433112,646,123,17,12,5,6,590,33,1.267,
114438736,629,168,41,0,1,1,626,1,,18
114457717,754,461,13,15,21,679,38,1,285.917,
114462356,560,198,4,2,36,520,2,0,,
114493141,549,36,20,3,7,138,286,115,,
114586356,722,68,42,0,0,321,260,141,,12
114644120,604,37,18,9,18,6,336,235,1.417,
114769796,1245,114,21,4,0,571,522,148,,
114792050,912,592,11,39,0,23,849,1,,1
114816669,553,382,4,0,0,34,519,0,,6
114833417,974,341,11,344,6,604,7,13,0.867,46
114913970,748,217,21,0,0,739,0,9,0.333,
115170267,485,8,,0,1,93,390,1,,
115178664,629,25,7,222,3,312,54,38,,
115242047,600,63,16,317,11,8,258,6,0.25,
115303583,616,150,3,0,37,568,0,11,,36
115314953,657,572,14,2,0,625,13,17,489.267,6
115336463,2813,1531,22,1,23,2693,90,6,0.417,10
115421744,739,42,,1,5,616,1,116,,24
115452435,1071,661,11,18,756,257,2,38,0.067,6
115478804,1171,665,132,90,64,900,16,101,2.667,
115702740,829,453,109,21,384,193,14,217,,6
115769941,580,172,15,0,0,512,24,44,,6
116020887,1068,72,74,237,748,19,13,51,,
116077592,597,293,29,0,6,1,564,26,70.75,19
116134714,1075,95,5,0,0,1075,0,0,,6
116169740,538,196,82,0,0,23,514,1,6.95,32
116204856,634,451,13,0,0,630,1,3,,
116332754,667,24,10,0,29,604,28,6,,
116340843,820,518,124,11,83,703,6,17,2.05,
116448656,790,47,22,1,3,37,586,163,0.683,
116454130,1075,103,51,6,729,245,84,11,,
116525500,586,250,28,0,4,0,552,30,,68
116561360,927,311,15,1,4,8,892,22,,6
116611242,804,109,23,35,2,750,2,15,,
116738433,519,55,11,0,16,369,134,0,,
116848827,471,29,4,23,0,0,439,9,,2
116862411,903,901,4,0,0,901,0,2,,
116886711,748,41,2,0,0,748,0,0,,
117030660,780,601,23,0,153,533,0,94,,
117066226,506,387,13,0,10,4,492,0,,6
117097570,929,43,4,1,0,923,5,0,,
117178226,724,220,4,511,29,0,75,109,1.217,1
117185904,754,133,62,0,0,752,0,2,0.433,250
117298976,791,323,80,9,40,694,23,25,0.167,6
117355424,767,248,46,0,0,1,766,0,1.5,68
117405923,711,70,15,26,102,0,371,212,1.05,
117432336,989,430,112,121,669,50,11,138,0.2,
117501611,661,168,16,0,0,650,6,5,0.183,
117609870,560,35,5,0,33,21,501,5,1.8,250
117631008,687,445,83,25,85,521,56,0,,
117718457,679,26,13,4,6,0,658,11,,
117864134,861,612,10,481,34,338,4,4,3.117,
117875516,509,168,16,0,18,25,459,7,0.883,6
117904213,920,241,11,0,791,28,1,100,,
117906756,755,372,39,14,22,664,5,50,0.233,80
118014814,871,206,76,24,0,30,798,19,1.617,30
118022565,816,364,16,33,34,749,0,0,1.017,6
118055161,623,307,12,6,22,302,230,63,2.833,162
118082670,648,293,31,57,22,493,56,20,135.783,256
118116249,599,550,37,2,47,464,62,24,,1
118139540,638,153,26,42,7,390,194,5,,6
118268664,625,11,1,0,4,616,0,5,,
118318678,986,177,6,0,280,2,25,679,20.333,32
118405319,1188,154,,612,430,36,13,97,,
118421549,904,568,48,0,43,182,1,678,1,7
118459429,619,107,43,10,15,5,529,60,,
118503845,678,546,11,1,6,667,0,4,7.367,6
118540473,970,182,9,0,0,969,1,0,0.167,14
118557218,575,44,6,12,1,155,402,5,1.7,
118564459,713,235,63,1,0,671,14,27,,
118599567,569,451,12,0,27,530,7,5,285.183,
118903707,774,362,27,75,89,554,51,5,,
118970422,658,396,34,4,417,217,8,12,0.633,
119070410,518,429,17,43,6,246,223,0,,6
119132250,1110,474,18,0,0,18,1032,60,26.567,24
119155780,635,229,21,35,0,597,3,0,,
119251138,898,41,42,0,0,896,1,1,,
119487645,1076,717,9,1044,18,14,0,0,5.767,
119532016,983,826,18,1,741,133,31,77,,
119614446,453,196,37,5,2,75,361,10,,37
119767577,712,39,16,0,0,712,0,0,,
119784656,806,435,1,0,0,799,3,4,3.667,
119833698,2090,1942,31,0,100,1876,18,96,,1184
119858696,524,146,17,0,0,523,1,0,,
120065680,726,123,18,2,0,689,0,35,3.5,330
120162741,509,15,17,1,0,0,508,0,,
120261536,899,148,35,205,128,282,50,234,,
120367909,560,319,22,35,11,19,262,233,8.2,
120572533,748,28,4,41,0,1,578,128,,
120591495,694,109,94,2,35,617,0,40,,
120664315,673,33,5,0,0,671,2,0,,850
120680091,731,671,1,0,0,731,0,0,0.1,
120681617,1295,290,68,47,1205,0,11,32,,
120726843,467,286,36,17,45,5,389,11,,
120733790,617,22,8,1,1,0,609,6,,262
120873770,642,132,2,82,0,364,194,2,,
120921261,976,171,24,548,28,106,144,150,,
120931505,581,204,29,7,2,119,363,90,,6
120947571,1120,380,23,0,0,20,983,117,18.55,82
121094372,583,7,,0,2,12,358,211,,
121126105,697,56,31,4,1,368,252,72,2.233,
121130728,756,275,1,5,5,740,0,6,,
121162836,964,191,64,388,515,52,7,2,,
121208073,554,197,57,0,9,545,0,0,12.45,74
121218396,978,136,10,16,197,615,5,145,,
121249222,810,31,23,0,46,759,2,3,,
121289593,1040,191,6,456,1,479,2,102,0.733,
121336080,597,318,50,0,7,16,457,117,,20
121368043,640,25,2,0,0,0,630,10,,68
121494385,1105,261,157,45,72,96,661,231,70.333,
121497393,615,400,38,3,36,39,507,30,5.05,
121514262,1277,220,39,76,127,217,644,213,,
121536852,750,16,8,0,70,547,2,131,74.95,
121544281,465,110,15,6,2,0,451,6,0.633,6
121724055,654,197,19,6,3,613,27,5,,
121781564,713,168,35,449,165,42,42,15,,
121846606,698,32,6,0,8,690,0,0,,12
121866471,529,480,24,7,117,14,385,6,1.05,64
122088259,826,684,39,24,410,87,11,294,13.617,
122159709,636,137,36,0,6,93,141,396,,
122222728,706,142,37,186,38,101,331,50,,
122230655,930,901,46,10,31,866,13,10,1.45,136
122254743,555,44,8,0,6,504,8,37,,
122298886,628,485,11,46,12,327,18,225,1.067,43
122333942,889,317,52,6,2,871,10,0,,80
122364100,601,139,46,0,7,402,54,138,,
122501435,616,2,,19,6,5,476,110,0.433,
122593645,989,401,50,54,208,351,319,57,47.967,
122842011,1297,816,80,256,998,27,8,8,0.133,
122901542,836,162,1,1,59,764,12,0,0.583,
122978892,641,525,3,26,45,457,77,36,1.117,
123100448,771,395,88,0,35,587,7,142,,194
123135282,588,124,46,26,41,457,54,10,,
123165798,810,89,6,3,21,0,8,778,,
123230052,739,436,5,13,21,381,43,281,0.533,6
123242772,740,106,77,237,268,145,24,66,,
123474621,563,174,21,56,32,467,0,8,0,
123554812,852,388,37,311,285,181,17,58,0.9,
123578865,717,294,20,21,111,562,6,17,2.983,
123578888,1080,58,4,0,0,1080,0,0,,
123617917,579,333,8,0,21,549,0,9,11.35,
123765704,708,332,33,376,142,23,58,109,,
123835330,590,70,47,11,154,253,6,166,0.067,
123847575,530,150,46,0,3,142,315,70,,6
123874845,702,164,44,239,111,84,34,234,55.633,
123890390,665,151,14,0,10,427,20,208,,
124097213,920,143,4,362,70,388,39,61,,
124206487,548,197,4,0,6,44,471,27,1.267,6
124241805,583,471,45,3,28,8,314,230,0.567,
124437641,677,162,91,0,48,587,22,20,,6
124539268,575,117,11,0,283,1,287,4,32.933,
124562677,1109,227,4,440,0,668,1,0,,6
124570805,606,61,5,6,7,14,518,61,,
124586090,707,707,25,288,7,311,21,80,1.15,
124723932,1130,650,6,879,89,29,131,2,0.167,
124727903,951,383,12,1,6,878,0,66,,
124794085,575,12,10,9,0,363,198,5,,
124837918,789,190,10,100,76,295,127,191,,
124945336,860,224,18,712,33,87,0,28,0.683,
125071622,792,91,3,6,0,786,0,0,,
125177045,1696,186,13,0,0,1696,0,0,3.817,
125251738,804,654,11,4,227,5,438,130,42.467,20
125439537,598,157,55,1,1,9,512,75,11.1,730
125601170,770,99,53,38,18,0,693,21,0.217,6
125620696,520,25,10,0,3,0,313,204,,12
125694492,670,448,15,78,23,552,13,4,0.2,
125746603,969,98,3,37,2,901,19,10,,
125753841,1046,265,102,479,17,32,208,310,274.567,
125977120,700,285,41,74,61,185,305,75,0.1,
126011835,604,112,35,61,16,472,1,54,,
126027925,908,352,12,706,10,155,6,31,453.417,
126155386,561,442,27,29,5,11,465,51,4.517,218
126176261,1218,188,85,6,0,12,1200,0,,
126261928,888,89,15,421,382,12,3,70,,
126276979,690,515,114,0,9,16,512,153,1.967,263
126558845,686,151,9,1,1,474,11,199,,13
126609774,208,40,16,3,27,57,71,50,,
126646555,722,68,34,182,385,102,27,26,,
126772811,562,12,,0,4,488,63,7,,
126794360,911,373,62,143,467,227,17,57,,
126829544,565,87,2,0,0,565,0,0,,
126925909,880,275,9,0,16,845,3,16,,
126931828,532,58,,0,15,157,360,0,,
127190369,794,7,,0,0,794,0,0,,
127247073,689,73,13,105,26,480,69,9,,1
127257441,1457,842,36,3,234,27,1,1192,102.45,
127327569,739,525,45,212,247,203,43,34,1.1,4
127331871,527,63,2,1,16,6,503,1,9.8,7
127556203,911,50,6,0,16,759,0,136,,68
127568809,1105,953,14,28,442,595,0,40,,6
127697659,606,44,8,3,24,578,1,0,,
127717049,611,17,4,0,8,590,0,13,,
127734926,704,17,15,0,3,697,1,3,,6
127775564,594,26,7,14,8,403,139,30,,
127776259,654,136,11,12,15,583,2,42,,102
127932437,502,134,25,62,37,55,283,65,,235
127963564,726,64,3,0,43,676,0,7,,6
127995033,605,554,24,39,36,529,1,0,0.15,6
128050725,668,171,69,106,9,491,62,0,,81
128184285,459,107,18,8,0,0,451,0,,6
128253013,865,137,4,14,5,0,806,40,,
128549900,859,398,15,0,2,854,0,3,1.333,240
128650380,571,89,18,104,22,134,290,21,,16
128742748,637,256,64,52,0,575,1,9,,
128766833,884,482,2,6,40,250,4,584,31.683,
128835428,1275,659,5,0,19,945,22,289,0.25,
128853106,630,69,13,4,203,100,201,122,0.683,1632
128861310,800,613,87,70,248,4,352,126,7,78
128895343,654,12,5,107,127,63,22,335,,31
128996597,815,116,15,1,0,814,0,0,,12
129031582,476,46,10,1,5,2,467,1,,
129056823,851,41,26,738,82,28,2,1,0.25,
129089104,807,172,7,16,6,28,718,39,,
129237444,541,506,10,0,4,80,456,1,,68
129323762,640,240,17,35,24,515,25,41,,7
129385448,777,692,15,0,691,20,18,48,0.4,
129484093,468,5,,0,2,1,465,0,,
129630417,691,22,3,0,0,680,4,7,,
129688285,997,36,4,0,0,982,15,0,,
129798851,756,127,44,115,211,25,22,383,0.15,
