distinct_id,reg_date,first_pay_time,last_month_total_pay,killer_game_num,killer_game_duration,killer_with_friend_num,friend_num,dia_amount,killer_diamond,gift_amount
70734741,2017-11-28 15:43:00,2018-02-21 12:15:31.536,1778,258,1433.879,231,65,17776,222,2649
60780819,,2017-10-20 02:57:39.989,11468,48,146.934,10,25,162041,,103224
89791146,2017-07-31 23:33:00,2017-08-18 22:03:41.451,2185,280,1622.610,269,21,21850,,352
98215842,2017-06-01 17:47:00,2018-01-04 00:27:37.506,8629,13,40.114,,9,86291,,7
80166235,2017-02-28 17:04:00,2018-05-20 03:05:26.176,8658,3,2.246,,17,86582,,70402
54729842,2017-11-24 02:35:47,2020-05-08 17:40:43.684,2178,117,811.557,51,3,15244,,
147159254,2020-12-15 11:33:11,2020-12-16 15:47:48.582,2986,19,67.402,,6,29860,,
99468808,2019-03-13 06:41:02,2019-07-09 00:01:52.356,1329,26,84.611,,41,13342,,1111
105061310,2020-02-17 22:22:16,2020-03-20 14:03:40.693,13222,10,25.013,5,126,132037,,121543
56473446,2017-02-22 19:25:00,2017-05-26 16:28:54.923,4455,28,146.282,3,87,44600,100,19800
20932386,2018-09-06 19:55:08,2018-12-20 23:29:59.123,11172,16,44.862,16,122,111720,,50904
69558732,2017-12-12 15:55:52,2018-02-03 01:21:52.387,1874,95,364.443,5,7,18722,,11343
125913460,2021-01-08 08:14:42,2021-01-08 17:58:29.345,1645,490,3649.949,118,48,16450,,5348
45796586,2017-03-13 23:12:00,2017-03-26 20:42:53.133,7760,38,120.676,12,42,77867,,51995
34270309,2017-08-05 21:49:00,2017-10-22 23:50:21.365,8662,18,67.333,,37,87107,,17812
149251484,2020-04-21 22:54:52,2020-04-24 02:02:22.023,8802,2,9.625,,14,88020,,1
44052065,2017-04-11 13:16:00,2019-04-17 18:08:27.125,1632,18,69.236,,18,16282,100,553
78394607,2017-11-26 17:27:00,2020-03-01 00:21:53.653,3766,2,3.569,,31,37077,,27556
89181752,2019-01-17 15:21:37,2019-02-07 23:57:07.76,1137,4,8.129,,142,11380,,18
60102094,2019-10-15 13:54:11,2019-10-15 14:06:52.622,2191,1,3.093,,21,21878,,677
69999371,2017-06-11 23:54:00,2017-12-22 19:18:36.569,1468,270,924.155,262,8,14672,60,970
128809197,2020-12-22 14:04:35,2020-12-22 20:35:44.266,1290,3,8.572,,2,12155,,31
119642215,2020-08-28 21:28:36,2020-09-02 21:31:35.754,6896,3,10.070,,27,68964,,4765
79231967,2019-10-05 17:52:09,2020-01-11 00:48:34.348,3432,42,225.916,14,31,33435,60,17313
123694130,2020-12-02 00:25:02,2020-12-05 19:47:02.918,2290,19,96.566,3,117,22900,,20780
83590852,2017-08-18 09:28:00,2017-08-18 09:57:36.55,6561,4,10.515,,46,66482,,47597
56906778,2017-04-11 10:40:00,2019-01-15 00:13:04.86,2262,2,8.438,,,22670,,265
84525182,2017-07-03 20:51:00,2017-07-10 20:14:34.888,14262,23,106.152,4,43,142607,,104758
147416930,2020-12-22 13:17:46,2020-12-23 00:14:45.884,1852,23,99.151,20,78,18520,,17990
137085269,2020-10-25 23:59:54,2020-11-18 14:53:18.63,1524,26,113.498,25,159,15244,,12623
106576810,2020-02-04 21:10:49,2020-02-24 00:53:36.446,2420,18,68.366,,35,24220,,20882
80143498,2017-04-02 17:44:00,2017-04-05 21:16:34.641,11326,107,904.743,19,35,113264,385,14260
54895999,2017-12-25 21:57:07,2018-02-08 17:48:16.371,1085,4,13.467,,13,11067,,941
56382045,2017-11-28 16:03:08,2020-03-30 21:04:04.944,2148,3,10.402,,43,21306,,16946
67793086,2017-12-16 23:55:00,2017-12-21 09:15:49.443,9602,8,27.408,8,43,95809,,76482
124590475,2020-11-22 16:41:35,2021-01-01 02:34:05.143,6015,381,1670.417,145,113,57766,800,1527
84463509,,2017-05-19 16:14:51.027,15663,9,50.728,9,182,156629,,239
60114411,2017-03-06 12:13:00,2017-07-02 14:34:43.727,8624,98,376.369,95,5,87281,178,30576
56951983,2018-10-24 19:46:31,2018-11-08 10:25:59.618,7154,1,4.103,,10,73423,,29356
20409474,2017-03-30 13:12:00,2017-07-15 10:23:49.936,1583,7,37.187,,40,15832,,20
96159688,2017-04-11 21:08:00,2019-08-05 10:18:38.805,1776,1,1.821,,4,17683,,781
76257899,2018-03-02 11:54:32,2018-07-25 16:58:47.363,8680,7,20.604,7,34,87451,20,60573
75128721,2017-12-07 16:31:27,2020-05-20 05:21:00.05,2415,86,337.257,5,53,24150,,7
76485165,2019-04-11 12:08:55,2019-06-20 13:08:47.387,1424,1,2.853,,17,14241,,14073
68308503,2019-01-14 22:05:00,2020-11-15 12:31:11.892,10066,7,25.846,6,67,100660,,91082
118029107,2020-04-08 18:04:21,2020-04-08 18:06:23.268,11202,17,51.516,12,35,112394,,103118
68841480,2019-12-29 22:34:46,2020-01-19 02:21:25.868,2359,133,484.158,114,55,23601,200,5532
36086495,2018-09-20 09:15:10,2018-09-27 09:56:02.298,8540,7,28.750,7,7,85457,,1862
49478419,2017-09-03 10:53:00,2018-05-04 11:56:59.844,14180,29,150.080,,10,137271,,797
76807085,2018-06-06 14:04:00,2020-02-04 16:33:48.849,7787,20,107.284,8,86,75661,,42328
81008627,2017-12-26 20:46:38,2020-11-20 02:55:47.712,9256,3,8.201,3,40,92521,,53192
52958179,2017-09-09 09:50:00,2018-08-28 08:29:42.196,1363,8,49.784,,1,13644,,1
26358990,2017-05-08 16:08:00,2017-06-11 23:09:53.126,7416,3,16.933,3,23,74344,,36399
14354141,2017-12-09 13:41:53,2018-01-28 02:26:26.512,6846,1,0.778,,2,68373,,
141813514,2020-04-26 16:29:14,2020-04-30 21:38:19.241,8670,52,286.238,51,75,87005,,27053
141497149,2021-01-03 14:57:13,2021-01-03 15:25:29.127,2089,1,3.987,,5,20888,,1
139994449,2020-10-22 11:51:37,2020-10-22 16:05:49.852,11547,87,313.631,87,67,115470,,35995
15564756,2017-03-07 09:54:00,2017-08-01 13:43:57.12,5623,2,4.532,2,15,56321,,1741
17423759,,2017-04-30 12:44:52.206,1345,20,168.068,2,32,13445,90,9397
115531316,2020-09-04 15:49:51,2020-09-05 01:01:55.375,1212,9,53.794,,100,12117,,7236
141263179,2020-11-16 02:03:54,2020-12-13 06:45:58.307,779,50,323.276,2,7,5456,,69
106509918,2020-02-26 13:18:06,2020-02-27 13:10:59.696,124,116,1100.309,41,9,1239,,
74521053,2018-12-24 21:41:37,2018-12-25 21:25:26.884,7916,2,2.954,,18,68353,,2818
101663694,2020-02-21 23:40:23,2020-02-22 16:14:18.175,1238,87,650.683,57,14,12377,60,5
134100346,2020-03-21 00:07:34,2020-03-27 13:52:07.229,13256,42,24.688,42,9,132557,,64459
79488150,2018-07-04 21:02:03,2018-07-10 21:54:59.132,9490,14,53.047,2,48,94882,,64045
